Game,Score,Record,Time
1,1,1,1.87
2,0,1,6.74
3,1,1,2.01
4,0,1,1.73
5,0,1,1.47
6,0,1,1.9
7,1,1,0.79
8,0,1,3.82
9,2,2,4.5
10,0,2,1.42
11,0,2,2.75
12,2,2,2.26
13,0,2,2.86
14,0,2,4.74
15,1,2,3.84
16,0,2,2.22
17,0,2,1.51
18,2,2,2.81
19,1,2,2.29
20,2,2,3.96
21,0,2,1.35
22,2,2,3.95
23,0,2,2.14
24,1,2,2.6
25,1,2,2.97
26,1,2,5.35
27,0,2,1.36
28,0,2,2.74
29,1,2,5.55
30,1,2,4.09
31,1,2,1.74
32,1,2,3.72
33,0,2,2.61
34,2,2,5.79
35,2,2,3.67
36,0,2,4.55
37,1,2,4.18
38,1,2,1.35
39,1,2,3.48
40,1,2,3.5
41,3,3,4.68
42,1,3,5.29
43,1,3,3.23
44,0,3,1.91
45,1,3,0.93
46,5,5,12.66
47,0,5,2.19
48,4,5,6.35
49,2,5,5.49
50,0,5,2.83
51,4,5,11.5
52,1,5,3.28
53,1,5,2.83
54,1,5,2.1
55,2,5,5.59
56,1,5,2.69
57,0,5,3.35
58,1,5,2.12
59,2,5,3.26
60,2,5,4.65
61,0,5,1.51
62,3,5,3.03
63,1,5,1.82
64,2,5,5.57
65,7,7,8.28
66,3,7,3.18
67,6,7,14.05
68,1,7,1.53
69,3,7,3.71
70,11,11,12.55
71,4,11,6.87
72,6,11,15.91
73,16,16,16.29
74,14,16,10.67
75,5,16,4.41
76,10,16,7.21
77,13,16,10.79
78,15,16,12.33
79,23,23,15.18
80,43,43,23.01
81,55,55,34.54
82,23,55,14.53
83,32,55,19.25
84,19,55,10.99
85,21,55,11.24
86,45,55,24.56
87,51,55,27.7
88,28,55,15.9
89,25,55,16.33
90,22,55,10.6
91,36,55,24.25
92,33,55,17.82
93,32,55,20.56
94,36,55,19.96
95,45,55,27.83
96,65,65,33.92
97,34,65,17.15
98,34,65,17.11
99,28,65,15.61
100,35,65,20.18
101,41,65,23.64
102,34,65,22.44
103,37,65,22.07
104,32,65,16.26
105,28,65,14.34
106,26,65,13.68
107,25,65,12.83
108,42,65,28.01
109,28,65,15.17
110,15,65,10.02
111,12,65,7.16
112,35,65,23.09
113,32,65,18.15
114,45,65,25.46
115,56,65,30.01
116,45,65,25.5
117,37,65,24.47
118,16,65,7.96
119,41,65,26.36
120,44,65,24.66
121,42,65,23.22
122,40,65,22.87
123,19,65,9.57
124,38,65,22.3
125,57,65,32.83
126,38,65,23.17
127,26,65,15.07
128,13,65,8.31
129,40,65,22.75
130,27,65,13.46
131,70,70,43.7
132,24,70,14.05
133,31,70,18.39
134,43,70,23.21
135,53,70,34.45
136,32,70,19.16
137,19,70,11.75
138,27,70,15.06
139,44,70,22.86
140,35,70,18.74
141,28,70,17.29
142,34,70,18.32
143,43,70,20.48
144,35,70,20.38
145,40,70,19.74
146,52,70,26.99
147,13,70,7.81
148,17,70,9.9
149,42,70,23.31
150,50,70,27.03
151,37,70,18.78
152,33,70,16.72
153,17,70,10.06
154,23,70,14.89
155,38,70,21.02
156,32,70,20.76
157,44,70,24.97
158,21,70,9.53
159,39,70,22.65
160,55,70,32.07
161,24,70,13.8
162,39,70,19.43
163,57,70,34.2
164,25,70,14.12
165,37,70,18.95
166,45,70,27.14
167,20,70,12.21
