Game,Score,Record,Time
1,1,1,0.84
2,1,1,2.7
3,0,1,0.73
4,0,1,4.19
5,0,1,3.39
6,0,1,2.17
7,0,1,1.11
8,0,1,1.5
9,0,1,2.69
10,0,1,2.47
11,0,1,2.16
12,0,1,10.84
13,0,1,1.9
14,0,1,2.97
15,1,1,3.69
16,1,1,1.95
17,1,1,6.37
18,0,1,2.35
19,0,1,2.04
20,0,1,3.19
21,0,1,1.58
22,0,1,1.73
23,0,1,8.24
24,1,1,2.19
25,1,1,2.32
26,0,1,1.53
27,0,1,1.33
28,1,1,1.75
29,0,1,5.64
30,1,1,5.14
31,0,1,3.52
32,0,1,2.16
33,0,1,4.04
34,0,1,1.15
35,0,1,5.15
36,1,1,1.91
37,0,1,1.3
38,2,2,5.62
39,1,2,2.82
40,0,2,2.03
41,0,2,3.27
42,3,3,8.36
43,1,3,6.42
44,0,3,1.35
45,1,3,3.48
46,0,3,6.09
47,0,3,3.2
48,2,3,2.97
49,0,3,1.73
50,1,3,1.82
51,4,4,7.14
52,1,4,3.56
53,0,4,1.73
54,0,4,4.95
55,2,4,2.85
56,2,4,4.0
57,1,4,6.49
58,1,4,2.23
59,1,4,3.26
60,1,4,9.86
61,0,4,9.07
62,5,5,11.74
63,1,5,2.91
64,0,5,1.51
65,2,5,2.99
66,1,5,3.9
67,1,5,5.9
68,0,5,1.8
69,2,5,3.2
70,1,5,3.66
71,2,5,1.97
72,2,5,6.53
73,1,5,9.13
74,3,5,5.63
75,6,6,10.36
76,1,6,3.15
77,0,6,2.0
78,1,6,6.62
79,5,6,18.29
80,2,6,16.19
81,0,6,11.15
82,1,6,13.58
83,0,6,10.97
84,0,6,10.99
85,2,6,16.04
86,1,6,13.41
87,0,6,10.91
88,1,6,13.4
89,0,6,10.89
90,0,6,10.95
91,0,6,10.93
92,0,6,10.82
93,3,6,18.54
94,2,6,7.45
95,0,6,10.94
96,0,6,10.94
97,1,6,13.55
98,1,6,13.69
99,2,6,16.1
100,5,6,23.73
101,2,6,16.23
102,4,6,21.34
103,6,6,9.1
104,0,6,11.07
105,21,21,30.54
106,26,26,33.08
107,37,37,41.27
108,3,37,18.55
109,39,39,110.4
110,10,39,10.79
111,9,39,8.75
112,22,39,26.22
113,13,39,13.88
114,29,39,84.84
115,4,39,21.07
116,9,39,33.81
117,36,39,74.04
118,24,39,30.42
119,0,39,11.04
120,23,39,22.53
121,34,39,28.74
122,19,39,22.89
123,16,39,16.67
124,27,39,28.27
125,46,46,45.92
126,21,46,20.7
127,20,46,17.14
128,6,46,26.21
129,41,46,34.6
130,30,46,19.42
131,49,49,61.75
132,15,49,49.82
133,22,49,19.13
134,10,49,13.07
135,23,49,13.64
136,8,49,31.17
137,34,49,26.76
138,36,49,37.8
139,7,49,28.93
140,26,49,24.98
141,33,49,24.66
142,17,49,54.61
143,1,49,13.65
144,0,49,11.09
145,24,49,19.75
146,39,49,37.43
147,15,49,34.19
148,17,49,14.43
149,29,49,23.73
150,5,49,4.85
151,9,49,33.8
152,23,49,23.63
153,16,49,12.19
154,8,49,6.22
155,13,49,15.8
156,1,49,13.58
157,1,49,13.55
158,8,49,31.61
159,39,49,28.46
160,7,49,14.14
161,28,49,24.06
162,8,49,9.39
163,24,49,19.13
164,40,49,28.09
165,4,49,7.54
166,30,49,24.11
167,17,49,15.89
168,24,49,17.88
169,31,49,30.69
170,48,49,55.1
171,2,49,16.16
172,8,49,31.65
173,30,49,27.8
174,15,49,12.4
175,11,49,6.76
176,40,49,60.39
177,3,49,18.51
178,36,49,37.97
179,17,49,54.34
180,50,50,52.59
181,19,50,59.77
182,22,50,24.74
183,1,50,1.5
184,35,50,30.19
185,15,50,49.04
186,8,50,31.38
187,1,50,13.51
188,1,50,13.51
189,0,50,10.93
190,24,50,72.61
191,14,50,10.33
192,1,50,13.61
193,37,50,23.55
194,55,55,46.49
195,27,55,23.32
196,9,55,33.74
197,12,55,41.46
198,4,55,21.31
199,0,55,10.92
200,48,55,38.03
201,19,55,17.33
202,28,55,23.03
203,14,55,10.77
204,48,55,35.92
205,43,55,35.18
206,19,55,13.01
207,15,55,9.17
208,32,55,20.66
209,23,55,16.63
210,23,55,15.54
211,16,55,11.3
212,50,55,35.12
213,37,55,76.66
214,27,55,17.9
215,19,55,15.91
216,33,55,31.47
217,40,55,32.59
218,19,55,16.17
219,38,55,27.09
220,23,55,16.88
221,25,55,15.84
222,14,55,9.5
223,25,55,15.37
224,28,55,20.02
225,16,55,12.91
226,4,55,21.13
227,16,55,16.37
228,21,55,15.76
229,30,55,20.63
230,50,55,37.96
231,28,55,23.17
232,8,55,31.56
233,26,55,16.86
234,38,55,23.17
235,10,55,6.15
236,24,55,13.97
237,52,55,49.74
238,8,55,4.38
239,12,55,5.04
240,27,55,19.02
241,42,55,34.44
242,13,55,12.68
243,44,55,34.88
244,54,55,40.93
245,30,55,16.29
246,51,55,33.08
247,23,55,18.38
248,44,55,33.44
249,31,55,28.72
250,18,55,14.51
251,39,55,29.24
252,15,55,10.36
253,23,55,13.68
254,30,55,17.16
255,49,55,38.26
256,38,55,29.17
257,28,55,17.68
258,35,55,27.86
259,31,55,23.86
260,35,55,21.14
261,53,55,40.43
262,41,55,27.77
263,38,55,29.44
264,15,55,12.88
265,1,55,13.45
266,11,55,7.87
267,28,55,16.89
268,31,55,20.38
269,17,55,17.24
270,26,55,12.88
271,20,55,13.06
272,31,55,23.78
273,28,55,23.51
274,24,55,14.29
275,32,55,21.18
276,21,55,20.24
277,19,55,15.6
278,38,55,24.17
279,39,55,32.32
280,34,55,20.96
281,13,55,6.34
282,17,55,54.23
283,7,55,6.41
284,11,55,7.52
285,24,55,19.94
286,36,55,19.74
287,29,55,21.44
288,15,55,8.73
289,44,55,36.14
290,25,55,13.47
291,10,55,36.66
292,19,55,13.62
293,41,55,25.99
294,27,55,23.46
295,30,55,16.16
296,37,55,28.36
297,47,55,36.84
298,23,55,17.18
299,9,55,6.62
300,36,55,32.95
301,19,55,16.66
302,75,75,58.25
303,25,75,15.38
304,26,75,17.22
305,33,75,22.39
306,25,75,19.16
307,37,75,21.18
308,42,75,32.71
309,32,75,22.86
310,38,75,25.86
311,57,75,33.65
312,40,75,26.68
313,45,75,30.94
314,29,75,18.22
315,65,75,45.74
316,20,75,15.73
317,34,75,27.96
318,29,75,19.79
319,26,75,15.11
320,34,75,18.77
321,53,75,33.08
322,29,75,17.83
323,22,75,14.35
324,22,75,19.87
325,33,75,23.09
326,32,75,20.65
327,36,75,19.19
328,48,75,30.72
329,29,75,23.29
330,31,75,19.08
331,56,75,42.26
332,25,75,19.13
333,22,75,11.95
334,45,75,28.41
335,28,75,13.51
336,22,75,13.55
337,34,75,22.2
338,25,75,18.56
339,18,75,8.85
340,32,75,17.53
341,40,75,39.21
342,17,75,10.38
343,53,75,33.4
344,43,75,28.87
345,57,75,43.08
346,23,75,12.27
347,37,75,21.8
348,14,75,9.25
349,25,75,17.23
350,43,75,32.28
351,42,75,28.12
352,30,75,20.4
353,27,75,15.27
354,22,75,16.21
355,44,75,32.13
356,31,75,25.42
357,25,75,17.3
358,12,75,8.44
359,7,75,6.16
360,35,75,29.77
361,33,75,19.87
362,50,75,33.65
363,15,75,11.21
364,11,75,7.13
365,25,75,18.0
366,12,75,7.5
367,40,75,20.48
368,37,75,23.41
369,38,75,27.42
370,29,75,18.4
371,21,75,14.16
372,26,75,17.38
373,16,75,8.7
374,26,75,16.35
375,20,75,13.03
376,31,75,19.51
377,25,75,14.67
378,30,75,21.65
379,10,75,5.88
380,37,75,20.0
381,32,75,23.22
382,48,75,31.18
383,37,75,20.14
384,32,75,23.05
385,26,75,17.12
386,15,75,8.19
387,40,75,24.75
388,29,75,14.91
389,26,75,15.53
390,34,75,17.85
391,11,75,10.04
392,36,75,25.9
393,16,75,13.14
394,24,75,14.69
395,25,75,16.89
396,35,75,23.8
397,15,75,8.79
398,38,75,29.69
399,44,75,32.72
400,31,75,21.24
401,34,75,20.86
402,53,75,42.67
403,23,75,15.83
404,12,75,8.86
405,25,75,14.93
406,23,75,14.1
407,23,75,15.35
408,20,75,10.88
409,48,75,30.41
410,28,75,18.09
411,27,75,13.66
412,26,75,16.71
413,18,75,10.09
414,48,75,29.64
415,16,75,7.5
416,26,75,16.33
417,29,75,21.15
418,22,75,11.16
419,51,75,33.39
420,13,75,10.72
421,27,75,15.44
422,17,75,10.45
423,23,75,9.16
424,28,75,15.85
425,19,75,11.0
426,24,75,17.07
427,35,75,23.87
428,26,75,16.74
429,29,75,15.7
430,19,75,11.26
431,38,75,18.93
432,14,75,8.06
433,47,75,34.08
434,46,75,30.13
435,45,75,30.51
436,33,75,22.57
437,5,75,3.56
438,23,75,12.83
439,28,75,16.11
440,34,75,21.09
441,16,75,10.98
442,24,75,16.12
443,11,75,6.61
444,19,75,11.74
445,25,75,15.14
446,21,75,11.79
447,34,75,20.02
448,43,75,21.93
449,15,75,10.93
450,19,75,10.28
451,27,75,15.16
452,26,75,13.47
453,30,75,16.8
454,32,75,16.99
455,20,75,10.08
456,12,75,6.3
457,20,75,10.09
458,43,75,27.92
459,30,75,16.56
460,38,75,19.56
461,32,75,15.26
462,16,75,9.64
463,15,75,9.98
464,23,75,14.05
465,14,75,7.65
466,8,75,31.57
467,21,75,10.93
468,29,75,17.78
469,20,75,12.52
470,45,75,24.98
471,27,75,12.83
472,27,75,14.11
473,33,75,19.02
474,32,75,18.47
475,32,75,19.11
476,10,75,5.66
477,21,75,12.17
478,14,75,8.33
479,25,75,12.49
480,43,75,27.87
481,43,75,25.34
482,14,75,7.46
483,28,75,18.87
484,22,75,12.44
485,18,75,9.96
486,35,75,21.25
487,26,75,14.46
488,15,75,7.72
489,50,75,32.17
490,39,75,21.12
491,52,75,27.04
492,36,75,18.75
