Game,Score,Record,Time
1,1,1,0.31
2,0,1,3.86
3,0,1,0.93
4,0,1,0.95
5,0,1,2.35
6,0,1,0.84
7,1,1,7.83
8,0,1,1.15
9,0,1,2.09
10,0,1,1.25
11,1,1,1.32
12,1,1,2.25
13,0,1,2.8
14,0,1,1.43
15,0,1,1.53
16,2,2,7.26
17,0,2,1.81
18,0,2,1.55
19,1,2,2.56
20,1,2,2.37
21,1,2,3.37
22,0,2,3.22
23,0,2,2.81
24,0,2,2.28
25,1,2,1.76
26,0,2,2.78
27,0,2,3.39
28,0,2,2.48
29,0,2,3.07
30,1,2,3.58
31,0,2,3.16
32,1,2,0.84
33,0,2,2.02
34,1,2,2.51
35,2,2,3.71
36,1,2,3.82
37,0,2,4.19
38,1,2,1.79
39,0,2,1.4
40,0,2,1.16
41,1,2,2.46
42,1,2,2.54
43,1,2,4.03
44,0,2,1.51
45,1,2,2.09
46,1,2,2.91
47,1,2,2.23
48,0,2,1.22
49,1,2,1.62
50,3,3,4.43
51,0,3,2.77
52,2,3,5.68
53,2,3,1.98
54,0,3,4.61
55,0,3,3.78
56,0,3,4.27
57,3,3,7.75
58,2,3,5.56
59,1,3,3.56
60,0,3,1.84
61,4,4,4.23
62,1,4,3.56
63,4,4,15.24
64,2,4,4.25
65,0,4,1.23
66,1,4,5.65
67,1,4,4.1
68,1,4,1.9
69,9,9,11.58
70,4,9,8.93
71,2,9,3.68
72,3,9,4.09
73,2,9,5.19
74,1,9,4.39
75,6,9,4.58
76,1,9,2.86
77,11,11,16.17
78,7,11,16.38
79,3,11,6.61
80,1,11,13.33
81,2,11,15.86
82,11,11,38.76
83,5,11,23.48
84,0,11,10.83
85,5,11,23.54
86,3,11,18.64
87,0,11,10.91
88,5,11,23.65
89,0,11,10.92
90,11,11,39.07
91,1,11,13.44
92,11,11,39.14
93,4,11,21.28
94,12,12,41.6
95,1,12,13.38
96,8,12,31.08
97,0,12,10.83
98,2,12,4.61
99,1,12,13.34
100,11,12,38.76
101,0,12,10.82
102,24,24,16.46
103,33,33,18.94
104,34,34,19.68
105,24,34,11.98
106,29,34,17.16
107,41,41,23.27
108,33,41,20.27
109,40,41,22.43
110,40,41,22.62
111,19,41,10.62
112,35,41,17.7
113,25,41,15.89
114,27,41,18.71
115,22,41,10.29
116,30,41,16.44
117,14,41,6.66
118,52,52,31.25
119,45,52,24.87
120,24,52,13.28
121,34,52,15.63
122,44,52,27.57
123,30,52,14.64
124,26,52,13.92
125,33,52,15.88
126,21,52,12.25
127,40,52,19.09
128,41,52,20.0
129,57,57,33.89
130,16,57,10.51
131,39,57,20.3
132,17,57,9.5
133,39,57,18.21
134,25,57,16.75
135,24,57,13.47
136,39,57,22.01
137,25,57,10.11
138,30,57,16.36
139,39,57,20.8
140,37,57,22.92
141,30,57,16.86
142,34,57,19.92
143,26,57,13.25
144,17,57,9.48
145,36,57,19.17
146,23,57,11.88
147,45,57,29.55
148,35,57,17.54
149,25,57,12.58
150,46,57,21.91
151,28,57,15.79
152,36,57,24.12
153,39,57,19.86
154,27,57,15.9
155,56,57,32.08
156,50,57,31.1
157,5,57,2.89
158,25,57,11.69
159,44,57,24.24
160,13,57,7.83
161,23,57,14.42
162,16,57,9.37
163,25,57,14.77
164,30,57,17.15
165,36,57,21.52
166,34,57,19.41
167,35,57,18.76
168,20,57,10.51
169,15,57,9.41
170,39,57,21.38
171,47,57,23.35
172,40,57,21.04
173,28,57,15.36
174,36,57,20.97
175,28,57,17.75
176,51,57,29.41
177,57,57,31.69
178,42,57,24.85
179,41,57,22.44
180,51,57,29.49
181,56,57,31.92
182,48,57,24.99
183,73,73,45.88
184,27,73,16.84
185,51,73,32.48
186,26,73,14.04
187,35,73,17.52
188,44,73,25.25
189,13,73,7.07
190,26,73,14.59
191,31,73,15.59
192,27,73,15.61
193,44,73,24.29
194,21,73,12.23
195,19,73,7.74
196,42,73,24.92
197,44,73,25.68
198,15,73,11.23
199,35,73,17.23
200,31,73,16.43
201,29,73,16.45
202,61,73,37.24
203,36,73,18.9
204,47,73,23.22
205,27,73,12.1
206,31,73,16.44
207,69,73,40.69
208,31,73,18.17
209,20,73,11.07
210,41,73,20.47
211,44,73,23.38
212,34,73,19.28
213,38,73,16.49
214,31,73,17.19
215,22,73,12.94
